"SYSTID";"MATNR";"MEINH";"LFNUM";"EAN11";"EANTP";"HPEAN"
"RA1";"000000000010142472";"ST";2;"133577";"Z2";NA
"RA1";"000000000010142478";"ST";2;"133596";"Z2";NA
"RA1";"000000000010142481";"ST";2;"133666";"Z2";NA
"RA1";"000000000010142482";"ST";2;"133676";"Z2";NA
"RA1";"000000000010142483";"ST";2;"133685";"Z2";NA
"RA1";"000000000010142503";"ST";2;"133776";"Z2";NA
"RA1";"000000000010142509";"ST";2;"133796";"Z2";NA
"RA1";"000000000010142517";"ST";2;"133820";"Z2";NA
"RA1";"000000000010142525";"ST";2;"133845";"Z2";NA
"RA1";"000000000010142530";"ST";2;"133863";"Z2";NA
"RA1";"000000000010142548";"ST";2;"133919";"Z2";NA
"RA1";"000000000010142554";"ST";2;"133937";"Z2";NA
"RA1";"000000000010142558";"ST";2;"133951";"Z2";NA
"RA1";"000000000010142561";"ST";2;"133961";"Z2";NA
"RA1";"000000000010142568";"ST";2;"133987";"Z2";NA
"RA1";"000000000010142571";"ST";2;"134001";"Z2";NA
"RA1";"000000000010142578";"ST";2;"134040";"Z2";NA
"RA1";"000000000010142588";"ST";2;"134124";"Z2";NA
"RA1";"000000000010142591";"ST";2;"134133";"Z2";NA
"RA1";"000000000010142594";"ST";2;"134143";"Z2";NA
"RA1";"000000000010142597";"ST";2;"134152";"Z2";NA
"RA1";"000000000010142609";"ST";2;"134192";"Z2";NA
"RA1";"000000000010142621";"ST";2;"134232";"Z2";NA
"RA1";"000000000010142624";"ST";2;"134242";"Z2";NA
"RA1";"000000000010142627";"ST";2;"134251";"Z2";NA
"RA1";"000000000010142733";"ST";2;"135207";"Z2";NA
"RA1";"000000000010142735";"ST";2;"135249";"Z2";NA
"RA1";"000000000010142738";"ST";2;"135270";"Z2";NA
"RA1";"000000000010142747";"ST";2;"135308";"Z2";NA
"RA1";"000000000010142752";"ST";2;"135323";"Z2";NA
"RA1";"000000000010142760";"ST";2;"135348";"Z2";NA
"RA1";"000000000010142770";"ST";2;"135448";"Z2";NA
"RA1";"000000000010142793";"ST";2;"135573";"Z2";NA
"RA1";"000000000010142799";"ST";2;"135594";"Z2";NA
"RA1";"000000000010142813";"ST";2;"136472";"Z2";NA
"RA1";"000000000010142875";"ST";1;"136670";"Z2";NA
"RA1";"000000000010142878";"ST";1;"136683";"Z2";NA
"RA1";"000000000010142880";"ST";1;"136689";"Z2";NA
"RA1";"000000000010142923";"ST";1;"136827";"Z2";NA
"RA1";"000000000010142931";"ST";1;"136852";"Z2";NA
"RA1";"000000000010142937";"ST";1;"136873";"Z2";NA
"RA1";"000000000010142938";"ST";1;"136876";"Z2";NA
"RA1";"000000000010142994";"ST";1;"137055";"Z2";NA
"RA1";"000000000010143000";"ST";1;"137077";"Z2";NA
"RA1";"000000000010143002";"ST";1;"137083";"Z2";NA
"RA1";"000000000010143056";"ST";1;"137258";"Z2";NA
"RA1";"000000000010143057";"ST";1;"137261";"Z2";NA
"RA1";"000000000010143067";"ST";1;"137292";"Z2";NA
"RA1";"000000000010143073";"ST";1;"137310";"Z2";NA
"RA1";"000000000010143075";"ST";2;"137563";"Z2";NA
"RA1";"000000000010144177";"ST";1;"109429";"Z2";"X"
"RA1";"000000000010144177";"ST";2;"NORS5 CARP";"Z3";NA
"RA1";"000000000010144178";"ST";1;"110887";"Z2";"X"
"RA1";"000000000010144178";"ST";2;"NOR GD35";"Z3";NA
"RA1";"000000000010144179";"ST";1;"110892";"Z2";"X"
"RA1";"000000000010144179";"ST";2;"NOR IMPC";"Z3";NA
"RA1";"000000000010144180";"ST";1;"112496";"Z2";"X"
"RA1";"000000000010144180";"ST";2;"SE VEDB12";"Z3";NA
"RA1";"000000000010144187";"ST";1;"122587";"Z2";"X"
"RA1";"000000000010144187";"ST";2;"HY VV5860-V";"Z3";NA
"RA1";"000000000010144202";"ST";1;"124293";"Z2";"X"
"RA1";"000000000010144202";"ST";2;"SE VE74TG";"Z3";NA
"RA1";"000000000010144203";"ST";1;"124296";"Z2";"X"
"RA1";"000000000010144203";"ST";2;"SE VESDWA";"Z3";NA
"RA1";"000000000010144519";"ST";2;"133517";"Z2";NA
"RA1";"000000000010144525";"ST";2;"133537";"Z2";NA
"RA1";"000000000010144529";"ST";2;"133548";"Z2";NA
"RA1";"000000000010144532";"ST";2;"133557";"Z2";NA
"RA1";"000000000010144536";"ST";2;"133567";"Z2";NA
"RA1";"000000000010144542";"ST";2;"133587";"Z2";NA
"RA1";"000000000010144548";"ST";2;"133665";"Z2";NA
"RA1";"000000000010144549";"ST";2;"133675";"Z2";NA
"RA1";"000000000010144557";"ST";2;"133721";"Z2";NA
"RA1";"000000000010144564";"ST";2;"133748";"Z2";NA
"RA1";"000000000010144568";"ST";2;"133762";"Z2";NA
"RA1";"000000000010144580";"ST";2;"133804";"Z2";NA
"RA1";"000000000010144581";"ST";2;"133807";"Z2";NA
"RA1";"000000000010144588";"ST";2;"133831";"Z2";NA
"RA1";"000000000010144610";"ST";2;"133891";"Z2";NA
"RA1";"000000000010144613";"ST";2;"133900";"Z2";NA
"RA1";"000000000010144623";"ST";2;"133933";"Z2";NA
"RA1";"000000000010144628";"ST";2;"133947";"Z2";NA
"RA1";"000000000010144635";"ST";2;"133974";"Z2";NA
"RA1";"000000000010144639";"ST";2;"133989";"Z2";NA
"RA1";"000000000010144646";"ST";2;"134017";"Z2";NA
"RA1";"000000000010144649";"ST";2;"134039";"Z2";NA
"RA1";"000000000010144656";"ST";2;"134113";"Z2";NA
"RA1";"000000000010144660";"ST";2;"134123";"Z2";NA
"RA1";"000000000010144680";"ST";2;"134182";"Z2";NA
"RA1";"000000000010144690";"ST";2;"134212";"Z2";NA
"RA1";"000000000010144694";"ST";2;"134222";"Z2";NA
"RA1";"000000000010144714";"ST";2;"134281";"Z2";NA
"RA1";"000000000010144804";"ST";2;"135133";"Z2";NA
"RA1";"000000000010144813";"ST";2;"135189";"Z2";NA
"RA1";"000000000010144826";"ST";2;"135287";"Z2";NA
"RA1";"000000000010144842";"ST";2;"135332";"Z2";NA
"RA1";"000000000010144856";"ST";2;"135415";"Z2";NA
"RA1";"000000000010144862";"ST";2;"135477";"Z2";NA
"RA1";"000000000010144865";"ST";2;"135495";"Z2";NA
"RA1";"000000000010144965";"ST";1;"136655";"Z2";NA
"RA1";"000000000010145016";"ST";1;"136802";"Z2";NA
